mass1	mass2	mass3
67803999238.3832	80553339705.00836	72545148070.50777
52293408810.25257	106854586601.09476	64854548610.45632
111232485832.33528	171667922083.21237	185632401563.36737
55135410586.57301	92044524281.46169	109979107511.34938
34022161688.611217	63159233425.42081	70237501822.55614
52215968378.65545	75363523208.65594	72255534132.41685
22922524953.477238	46544335516.13007	48520970876.80243
151663545922.3535	70382348071.60912	140622321563.1625
89256525135.15501	173649448556.16318	201075489418.33368
329993470727.6123	143728740072.95865	342374366790.4886
79532682289.38454	118388697990.95236	83697317964.11731
515925902762.97766	413879885172.3346	784458153746.9156
272174793987.8688	402045089268.7408	417942017842.8794
250067485581.18005	247210693563.42468	487561871710.0604
67778814569.3378	152200221625.26736	63165742708.60779
263287315213.63	332403260841.2817	324993035912.5384
280634795314.4267	202927737151.01465	196495793261.4217
127193454007.84584	218556788073.98975	96798744453.67026
136275941022.32288	280962698467.3355	130826405225.09628
67835565713.76009	89136404951.75563	124275248929.3208
139880265855.40082	356556365786.15533	328351789020.64
182855772250.3352	292974511669.1771	302908786324.6456
204354988157.84863	83166027041.6353	220640824647.8758
54848680457.63184	38603114700.07819	50562317431.76968
47277340086.82739	61964996641.09039	78777643648.67201
51842146274.62654	76842491887.34277	84632322912.68867
83377032911.17802	147765962549.85312	96441988582.20168
80198158181.7277	63666898149.44027	106493416636.1838
19174521066.766403	45132136822.84854	27079908019.464783
27310256565.12724	9790780875.401443	38557639516.80611
21273693001.2417	56174608813.07408	16228488143.40987
102571037717.01868	113628396689.64291	140026159321.3099
28556261159.623035	34660935543.3522	39704887606.24312
26577636530.425358	45905710800.77068	40703964895.04113
9967287903.280478	23827311972.5781	11352386147.762222
19836330311.1077	46919573275.58603	47837436012.78125
9680789489.836515	18170867759.442425	8827443022.649977
53104521353.73747	91048937417.17288	67362142778.646576
30225086209.8204	55445539783.30647	78202692168.56268
10568461765.119757	13510545660.04252	21255242494.551395
4420050606.866227	6450838206.831025	7189629530.127982
25123892040.374798	15012157870.6397	24112138557.140377
48142541421.79782	91799759092.83176	76649500577.67624
45284392140.91708	84462312666.85374	63181778115.33929
96863642011.9255	239540576290.78705	132333773248.84949
170161355934.2878	176124713227.96704	218783159347.43423
138797814935.01202	388014770512.9848	260074788090.6791
152014815228.50705	229939963588.2848	296971797991.22595
270827545162.4356	151980918359.95612	250618895925.57236
47671105860.84961	65744486695.667046	71549702833.16194
117497257805.1507	168504725006.07523	192101188418.4564
98583752483.48335	127535908233.83565	117938511546.75397
93747288143.8248	190328625522.45508	80033347427.40578
310024402422.59906	243958772589.47787	427105057120.5405
32080195171.851044	50813227798.83627	39196602842.96978
118309900990.27403	203515393194.6464	186153604410.6562
128640496190.26135	246767681967.46768	232571202859.4435
15035314732.03182	29560939680.425987	27436204704.652065
10286138745.8608	22160616078.95481	23847925595.40605
14881136911.42072	28600233381.604862	19928204106.959614
13077607911.272247	12623084950.970266	14801043512.286753
18803405926.17321	45422733906.63148	26710490746.790207
18877013321.02101	34107727704.47592	56477834360.274345
104499357952.9336	42382158436.65748	99391616966.8987
25556017680.973423	66893514529.42484	33944271668.809177
9549961807.6331	20230793374.890587	20548821765.08824
21337215986.14408	33453983627.918804	41584577122.42314
48248300248.30704	69480859054.51122	76968984574.21852
12937352947.136389	13096093697.361296	8889158361.505629
218493488416.23483	371157613990.2905	264222574157.0843
102353644677.42186	155902392892.16214	291146343318.24054
47753674879.06549	83301950314.09428	62656949439.549934
63508832024.56314	92731729112.76208	69399728530.24608
33208488799.6222	45643772606.18209	42375708916.916336
38773253675.923584	61890002478.170425	52143630460.60064
25179208584.00918	74769857567.26509	52806169254.54745
40254881260.498535	56359342569.041336	50940560317.74257
41416826861.57905	60066753323.39935	82067250607.81526
39684137266.81036	40454651406.41528	58069771026.6099
72188010818.36581	130692644727.29756	165969826494.44257
63835950228.32469	150958501348.33603	88617445514.90912
55885857818.26863	93724114544.9638	84694473857.1743
81546146975.86317	104904537559.5436	137855196693.72964
100578499420.58916	150261346412.14883	139639653591.9797
493590779177.78064	456885584676.69086	505415886006.1196
152798473306.1454	182881269997.84756	290896351499.703
420584222935.6263	294949555296.86084	635867227489.692
134951473715.46114	177662500934.70905	243709441467.5427
250852994609.9803	440409288007.0716	199099775313.36932
175898320988.189	231735251675.676	217525234582.1338
142625757291.13126	231872927906.93777	216205486887.7184
128442058474.7701	106827527804.95224	149325857639.77737
185587780109.1012	182205674650.4129	212169048807.8299
129374526627.94908	246773666584.382	285759118367.36554
77861359075.88368	139709193426.5688	123303516852.46988
50430745621.216125	81400221799.1588	114571524287.53906
153508669410.12262	229618406870.99295	168060670441.36984
30712533375.853622	46463420175.61229	33575503919.111725
145316476243.78867	160530091694.10532	166907455645.28632
133498853971.99551	199443095203.4517	120129149114.17026
56396432703.56093	105267344264.90337	64461880381.09833
186725158830.99612	136578790237.26802	215537472358.56912
76755290077.43117	29880230153.394165	80590103461.06802
10789276773.46897	15734448470.538994	16371558974.155909
22310508540.60607	26193191725.34518	10378964783.342222
24840434691.426025	22508857571.363457	39985485517.42543
18250717731.41995	29960318123.094944	8792718112.673178
49320379833.33756	19054331076.07246	51655041998.81796
13646944991.375977	27701452949.729355	29077600418.64926
12864039449.042318	19857060889.77657	43766873571.90577
14481735374.309635	26209658718.344307	25342325325.077183
13048880444.516487	35979465570.367035	31788819893.213158
18013803989.52722	24487565874.18221	26886225318.50849
26202918982.455746	31840971677.56681	60492526928.224045
54088804504.36326	21159408233.50291	46774099970.50445
16044130372.252918	29199498130.3891	16738184882.474518
15006289769.319042	30280609833.413017	34110912189.108555
50334717894.49049	19727013274.808346	48895593866.89997
148956159625.04013	91696632165.92972	155862830666.7722
112114563350.71886	160212539011.3289	173400905706.45413
77846474908.28452	99298696538.44708	140788350483.934
62933220558.66803	105202909376.59836	85936997274.9204
22270402719.365486	45259261670.7562	45746192908.08855
46414490359.84986	80364682027.6863	137863131389.86523
91908488150.7944	140462024089.0428	84736251816.7973
55411591533.5592	94722640848.8176	66216319063.83219
58984297250.60811	111197859946.2785	59738327468.216125
201823339321.4041	163622942041.5275	199105676118.1897
28465244246.618828	76653760710.69594	38337520861.6321
64590185582.05115	113643971631.62852	76372881068.58163
65127613386.39375	124185054857.81776	69174064682.96643
43522018667.055855	72076358243.68979	65995131266.85572
17530945215.070175	36873057918.03136	31526548558.18832
25229238547.620617	36623836575.16048	41948879499.19144
20429162437.523487	41237030074.65822	36660952990.15543
59342086999.51968	105590374588.62527	79637095243.63365
154915159110.27606	178652985826.67984	395572909837.06354
17358299591.33517	25545492362.99969	43499511892.0529
38673251331.82735	65895561609.53765	37613147946.05354
22472169831.90465	13785678969.205452	24994397239.77603
36009720653.18274	63945938779.72687	85070303503.76314
58510286696.39369	78810305332.19176	35397821057.11159
24516193361.57285	54736700180.94687	52844275938.8757
50886522819.89012	64139017664.90852	66217177233.93482
33579819136.98169	55148828659.85939	34566831752.77418
33396199933.28161	126663845334.38068	52029996946.72588
72715198432.62418	26890153122.730537	74614117664.84534
34488803075.02116	78434509050.74023	73337317078.44989
24657053716.769222	62361979069.47964	40124402702.05086
58869534986.331	81589693410.57658	129666036887.56302
86548889943.81432	120714316623.20863	115559295037.35158
66262479720.76936	87548671550.26575	101294063225.33832
107943549551.1526	114232849505.32654	218243360081.25836
50902167578.45494	73800022067.37135	65516892650.80627
99297584729.253	150744273641.52975	154539754205.2676
67251631547.090256	67076539193.37253	92769230452.7225
102182118651.12527	62990602504.734985	93715202413.80452
53236022758.59465	86471523392.53548	73849430074.62488
131604388401.4502	221778838033.17816	148390062635.30716
122086783868.39464	473748884840.8387	137269808919.03967
171299135317.74985	140473026045.59958	231258803464.77985
188691218596.08704	304725887486.1027	254150422340.44287
185756644700.2204	224457458119.84125	204845992886.34332
104851907664.21465	58127971812.021904	92657801693.6581
232276202004.25266	268180662971.89944	366999375619.3167
242862600656.18176	271440158539.57556	237556009869.46173
138329628745.02682	162994899409.19998	196838867394.3991
158175668664.71182	87253038649.11055	173408467377.56317
157070056987.08038	185964404218.26465	115820986847.83846
148183427449.91052	224815212264.6653	310132426999.9824
114116045511.13911	212591047536.24213	227996591255.20786
60472647459.88295	106512351515.87306	83133764232.21097
192183463747.1498	78707621449.09369	237943056431.7702
68054370911.848045	115576000610.85594	124888065111.85048
89687717446.45692	135925001442.09244	150047548136.30893
33889860205.3809	62455455846.46352	68739138660.02063
51420412454.808975	68379725459.34516	77187322819.3069
15692838968.022451	21867469021.207478	44402058014.466194
16236442755.079948	27725949064.501183	39465139120.42811
8036552516.596326	25758695716.57312	8900809219.381495
43572954971.23654	44544390890.52933	28834735317.02156
30440009382.125317	14063468734.44856	28017517527.679413
27871155876.29673	39700816736.39414	40442833708.442055
15169928208.92859	35845203354.365204	14530123297.484264
25829131095.546192	14379176276.997429	32303761416.341576
36875696703.830605	14249895860.760698	49453164234.78266
43652771551.20443	46296033106.55685	35068233038.495964
15916338471.63039	9091024681.580805	18636867282.37292
16176108122.913113	39690892192.89665	39415016569.40091
10543448733.197544	21310077240.666702	16658981556.77185
20704900835.63592	44422474438.80596	30161070619.006386
12481424096.716558	14137014376.413328	28133837841.58218
3367723349.1073494	4332127167.162421	6642643303.669086
42111271891.54348	57489534196.757805	64072338696.28658
48594445603.69682	90896970424.9789	102381450206.69383
114228125696.192	200929144418.1757	189397494187.99127
240818365726.20355	300394639826.22705	379738908481.9845
51234063163.15183	117200297537.33923	106984802414.42458
113172933841.26114	105818516900.13776	160976916371.09686
54900239765.10694	103708617394.58888	122680732406.53514
130483779731.78976	72915135752.8864	137552854466.40826
91537618935.39246	142633725573.28467	166985088774.4307
104562873961.67004	116752263739.72418	155198411808.56726
53811568832.190575	59533375547.336174	94474425787.22072
61864359019.55242	117617965772.19194	113392170529.43268
56401672660.17508	112417270871.92308	115569496500.53944
